No,論文名稱: Thesis Title (Chinese),論文英文: Thesis Title (English),研究生: Graduate Student,指導教授: Advisor / Thesis Supervisor,校院名稱: University / College Name,系所名稱: Department Name,學位類別: Degree Type,畢業學年度: Graduation Academic Year,論文出版年: Thesis Publication Year,被引用: Citations,點閱: Views,下載: Downloads,書目收藏: Bibliography Collection,URI
1,探討遊戲化電子測驗對學生阿拉伯語聽力技能、  動機和參與度的影響,"Exploring the Effects of Gamified E-Quizzes on Students Arabic Listening Skills, Motivation and Engagement",梅妲,楊接期 博士,國立中央大學,網路學習科技研究所,碩士,112,2024,0,19,0,0,https://hdl.handle.net/11296/9p4rrw
2,從認知風格探討網路遊戲式英語詞彙學習之影響,The Influences of Cognitive Styles in the Context of Online Game-based English Vocabulary Learning,王前權,陳攸華,國立中央大學,網路學習科技研究所,碩士,112,2024,0,29,0,0,https://hdl.handle.net/11296/6c4s5c
3,基於知識翻新理論之國小自然領域合作探究學習平台開發與初步評估,Development and Initial Evaluation of a Collaborative Inquiry Learning Platform in the Elementary School Natural Science Domain Based on the Knowledge Building Theory,楊琇茹,"吳穎沺
吳穎沺",國立中央大學,網路學習科技研究所,碩士,112,2024,0,34,7,0,https://hdl.handle.net/11296/e8g5b4
4,數位互動式文字劇情冒險遊戲開發與學習者人格及歷史多元觀點分析,Digital Interactive Text Adventure Story Game Development and  Analyzes of Learners' Personality and Historical Multiple Perspectives,陳乃慈,施如齡,國立中央大學,網路學習科技研究所,碩士,112,2024,0,20,0,0,https://hdl.handle.net/11296/ayrjdk
5,The effects of integrating a synchronous out-of-class online component into the flipped classroom on EFL students’ academic performance and perceptions,The effects of integrating a synchronous out-of-class online component into the flipped classroom on EFL students’ academic performance and perceptions,Ian Douglas Fischer,楊接期,國立中央大學,網路學習科技研究所,博士,112,2024,0,14,0,0,https://hdl.handle.net/11296/p5h426
6,TTPR：設計科技強化型全肢體反應為了小學生和國中生在印尼學習英語詞彙,TTPR: The Design of Technology-Enhanced Total Physical Response for Elementary & Junior High School Students to Learn English Vocabulary in Indonesia,高少奇,陳德懷,國立中央大學,網路學習科技研究所,碩士,112,2024,0,13,0,0,https://hdl.handle.net/11296/9k3r9f
7,探討不同口說先備能力者在具不確定性獎勵機制的數位遊戲式學習環境下英語口說學習成效、遊戲成效、學習感知及行為模式的影響,"Exploring the Effects of Learners with Different Spoken Prior Abilities on English Spoken Learning Performance, Gaming performance, Learning Perceptions and Behavior Patterns in a Digital Game-Based Learning with an Uncertain Reward Mechanism",吳佳蓁,楊接期,國立中央大學,網路學習科技研究所,碩士,112,2024,1,47,0,0,https://hdl.handle.net/11296/3fpt5r
8,探討融入不可預期獎章機制的遊戲式英語口說學習環境對不同英語焦慮程度學習者的學習成效、遊戲成效、溝通意願及行為模式之影響,"Exploring the Effects of Learners with Different English Anxiety Levels on Learning Performance, Gaming Performance, Willingness to Communicate and Behavior Patterns in a Digital Game-based Learning with Unexpected Digital Badge Mechanisms",黃政穎,楊接期,國立中央大學,網路學習科技研究所,碩士,112,2024,0,28,0,0,https://hdl.handle.net/11296/66d32h
9,探討數位遊戲式學習環境中不同表現目標與不同學習求助情境對大學生英文翻譯技巧的學習成效、遊戲成效、求助行為及學習觀感之影響,"Effects of Different Performance Goal Orientations and Different Help-Seeking Context on University Students' Learning Performance, Game Performance, Help-Seeking Behavior and Learning Perceptions of English Translation Techniques Learning in Digital Game-based Learning Environment",鍾嘉羚,楊接期,國立中央大學,網路學習科技研究所,碩士,112,2024,0,40,0,0,https://hdl.handle.net/11296/3x49ac
10,遊戲化自我調節方法促進護理學生利奧波德技能表現的成效,The Effect of Gamification with Self-Regulated Approach to Promoting Nursing Students’ Leopold’s Maneuvers Performance,黃金綉,"楊接期
張靜宜",國立中央大學,網路學習科技研究所,碩士,112,2024,0,31,0,0,https://hdl.handle.net/11296/4gse9t
